"CBSA","CBSA Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"Aberdeen, WA","10140","2020-01-01",40,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-02",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-03",40,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-04",23,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-05",18,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-06",20,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-07",21,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-08",23,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-09",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-10",25,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-11",26,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-12",22,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-13",26,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-14",21,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-15",14,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-16",26,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-17",18,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-18",24,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-19",16,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-20",23,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-21",30,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-22",13,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-23",16,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-24",27,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-25",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-26",31,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-27",15,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-28",18,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-29",25,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-30",15,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-31",21,"Good","PM2.5","53-027-0011",2
"Akron, OH","10420","2020-01-01",24,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2020-01-02",14,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-03",23,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-04",32,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2020-01-05",19,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-06",19,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-07",29,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-08",15,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2020-01-09",26,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-10",24,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-11",9,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2020-01-12",8,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-13",30,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-14",55,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-15",45,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-16",27,"Good","PM2.5","39-153-0023",4
"Akron, OH","10420","2020-01-17",15,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-18",15,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-19",41,"Good","PM2.5","39-153-0023",4
"Akron, OH","10420","2020-01-20",28,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-21",33,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-22",66,"Moderate","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-23",56,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-24",42,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-25",23,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-26",22,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-27",33,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-28",28,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-29",13,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-30",35,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-31",58,"Moderate","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-02-01",57,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-02",26,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-03",26,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-02-04",30,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-05",12,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-06",18,"Good","PM2.5","39-153-0023",4
"Akron, OH","10420","2020-02-07",25,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-08",50,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-09",53,"Moderate","PM2.5","39-153-0023",3
"Akron, OH","10420","2020-02-10",26,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-11",51,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-12",52,"Moderate","PM2.5","39-153-0023",4
"Akron, OH","10420","2020-02-13",31,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-14",22,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-15",42,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-02-16",35,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2020-02-17",60,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-18",37,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-02-19",33,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-20",25,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-21",36,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-02-22",46,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-23",40,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-24",50,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-02-25",51,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-26",34,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-27",20,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-02-28",31,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-29",18,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-03-01",38,"Good","Ozone","39-133-1001",4
"Akron, OH","10420","2020-03-02",40,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-03",35,"Good","Ozone","39-153-0020",4
"Akron, OH","10420","2020-03-04",30,"Good","Ozone","39-153-0020",4
"Akron, OH","10420","2020-03-05",39,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-06",34,"Good","Ozone","39-153-0020",4
"Akron, OH","10420","2020-03-07",39,"Good","Ozone","39-153-0020",4
"Akron, OH","10420","2020-03-08",41,"Good","Ozone","39-133-1001",4
"Akron, OH","10420","2020-03-09",47,"Good","Ozone","39-133-1001",4
"Akron, OH","10420","2020-03-10",40,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-11",56,"Moderate","PM2.5","39-153-0017",3
"Akron, OH","10420","2020-03-12",54,"Moderate","PM2.5","39-153-0017",3
"Akron, OH","10420","2020-03-13",33,"Good","Ozone","39-133-1001",3
"Akron, OH","10420","2020-03-14",30,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2020-03-15",33,"Good","Ozone","39-133-1001",3
"Akron, OH","10420","2020-03-16",36,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-17",44,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-18",51,"Moderate","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-19",26,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-20",31,"Good","Ozone","39-153-0020",4
"Akron, OH","10420","2020-03-21",31,"Good","Ozone","39-153-0020",4
"Akron, OH","10420","2020-03-22",36,"Good","Ozone","39-153-0020",4
"Akron, OH","10420","2020-03-23",35,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-24",39,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-25",40,"Good","Ozone","39-133-1001",4
"Akron, OH","10420","2020-03-26",46,"Good","Ozone","39-133-1001",4
"Akron, OH","10420","2020-03-27",38,"Good","Ozone","39-133-1001",4
"Akron, OH","10420","2020-03-28",36,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-03-29",42,"Good","Ozone","39-133-1001",3
"Akron, OH","10420","2020-03-30",38,"Good","Ozone","39-133-1001",4
"Akron, OH","10420","2020-03-31",31,"Good","Ozone","39-133-1001",4
"Albany, GA","10500","2020-01-01",47,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-02",32,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-03",38,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-04",17,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-05",24,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-06",34,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-07",33,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-08",58,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-09",68,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-10",48,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-11",32,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-12",30,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-13",36,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-14",28,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-15",28,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-16",27,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-17",28,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-18",33,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-19",20,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-20",27,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-21",51,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-22",32,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-23",55,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-24",35,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-25",33,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-26",30,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-27",29,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-28",37,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-29",56,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-30",29,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-01-31",22,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-01",31,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-02",23,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-03",57,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-04",41,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-05",29,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-06",32,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-07",21,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-08",31,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-09",40,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-10",30,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-11",37,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-12",32,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-13",22,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-15",34,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-16",29,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-17",21,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-18",30,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-20",7,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-21",26,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-22",28,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-23",52,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-24",50,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-25",20,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-02-29",53,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-01",82,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-02",59,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-03",45,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-04",28,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-05",8,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-06",14,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-07",38,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-08",48,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-09",45,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-10",57,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-12",55,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-13",55,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-14",86,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-15",75,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-16",58,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-17",59,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-18",63,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-19",77,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-20",73,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-21",62,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-22",49,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-23",54,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-24",47,"Good","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-25",52,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-26",84,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-27",86,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-28",84,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-29",75,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-30",64,"Moderate","PM2.5","13-095-0007",1
"Albany, GA","10500","2020-03-31",74,"Moderate","PM2.5","13-095-0007",1
"Albany-Schenectady-Troy, NY","10580","2020-01-01",17,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-02",38,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-03",54,"Moderate","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-04",53,"Moderate","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-05",12,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-06",29,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-07",29,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-08",31,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-09",17,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-10",32,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-11",35,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-12",17,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-13",31,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-14",53,"Moderate","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-15",45,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-16",26,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-17",17,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-18",24,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-19",33,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-20",15,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-21",46,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-22",57,"Moderate","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-23",73,"Moderate","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-24",7,"Good","CO","36-001-0012",1
"Albany-Schenectady-Troy, NY","10580","2020-01-25",67,"Moderate","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-26",24,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-27",20,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-28",10,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-29",13,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-30",37,"Good","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-01-31",59,"Moderate","PM2.5","36-001-0005",2
"Albany-Schenectady-Troy, NY","10580","2020-02-01",27,"Good","Ozone","36-091-0004",2
"Albany-Schenectady-Troy, NY","10580","2020-02-02",30,"Good","Ozone","36-091-0004",2
"Albany-Schenectady-Troy, NY","10580","2020-02-03",42,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-04",29,"Good","Ozone","36-091-0004",2
"Albany-Schenectady-Troy, NY","10580","2020-02-05",32,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-06",39,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-07",31,"Good","Ozone","36-001-0012",2
"Albany-Schenectady-Troy, NY","10580","2020-02-08",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-09",53,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-10",47,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-11",61,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-12",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-13",44,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-14",31,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-15",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-16",43,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-17",46,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-18",35,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-19",39,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-20",38,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-21",40,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-22",51,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-23",61,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-24",55,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-25",68,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-26",63,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-02-27",38,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-28",39,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-02-29",34,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-01",39,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-02",42,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-03-03",55,"Moderate","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-03-04",37,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-05",34,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-06",40,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-03-07",39,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2020-03-08",43,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-09",47,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-10",37,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-11",34,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2020-03-12",33,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2020-03-13",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-14",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-15",40,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2020-03-16",39,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-17",34,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-18",41,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-19",33,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-20",31,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-21",37,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2020-03-22",36,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2020-03-23",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-24",36,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-25",45,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-03-26",42,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-27",35,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-28",37,"Good","PM2.5","36-001-0005",3
"Albany-Schenectady-Troy, NY","10580","2020-03-29",39,"Good","Ozone","36-001-0012",3
"Albany-Schenectady-Troy, NY","10580","2020-03-30",34,"Good","Ozone","36-091-0004",3
"Albany-Schenectady-Troy, NY","10580","2020-03-31",36,"Good","Ozone","36-091-0004",3
"Amarillo, TX","11100","2020-01-01",35,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-02",32,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-03",35,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-04",31,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-05",36,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-06",38,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-07",36,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-08",37,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-09",37,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-10",28,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-11",31,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-12",36,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-13",84,"Moderate","SO2","48-375-1077",4
"Amarillo, TX","11100","2020-01-14",34,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-15",31,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-16",27,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-17",31,"Good","Ozone","48-381-9991",3
"Amarillo, TX","11100","2020-01-18",36,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-19",34,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-20",40,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-21",35,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-22",26,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-23",40,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-24",41,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-25",40,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-26",38,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-27",35,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-28",32,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-29",37,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-30",33,"Good","Ozone","48-381-9991",4
"Amarillo, TX","11100","2020-01-31",40,"Good","Ozone","48-381-9991",4
